setting,classifier,rate
"('sagittal', 'neutral-hu1980.dat', 'sagittal', 'neutral-legendre.dat')",KNN_manhattam,72.16
"('sagittal', 'neutral-hu1980.dat', 'sagittal', 'neutral-chebyshev.dat')",MLP,77.84
"('sagittal', 'neutral-hu1980.dat', 'sagittal', 'neutral-zernike.dat')",KNN_euclidean,29.9
"('sagittal', 'neutral-hu1980.dat', 'transversal', 'neutral-hu1980.dat')",KNN_manhattam,50.0
"('sagittal', 'neutral-hu1980.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,76.29
"('sagittal', 'neutral-hu1980.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,71.13
"('sagittal', 'neutral-hu1980.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,71.13
"('sagittal', 'neutral-hu1980.dat', 'transversal', 'neutral-zernike.dat')",MLP,30.93
"('sagittal', 'neutral-hu1980.dat', 'whole', 'neutral-hu1980.dat')",KNN_manhattam,33.51
"('sagittal', 'neutral-hu1980.dat', 'whole', 'neutral-hututu.dat')",KNN_manhattam,59.79
"('sagittal', 'neutral-hu1980.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,68.04
"('sagittal', 'neutral-hu1980.dat', 'whole', 'neutral-chebyshev.dat')",KNN_manhattam,66.49
"('sagittal', 'neutral-hu1980.dat', 'whole', 'neutral-zernike.dat')",MLP,37.63
"('sagittal', 'neutral-hututu.dat', 'sagittal', 'neutral-legendre.dat')",KNN_manhattam,70.62
"('sagittal', 'neutral-hututu.dat', 'sagittal', 'neutral-chebyshev.dat')",KNN_manhattam,69.07
"('sagittal', 'neutral-hututu.dat', 'sagittal', 'neutral-zernike.dat')",MLP,41.75
"('sagittal', 'neutral-hututu.dat', 'transversal', 'neutral-hu1980.dat')",KNN_manhattam,59.79
"('sagittal', 'neutral-hututu.dat', 'transversal', 'neutral-hututu.dat')",KNN_manhattam,77.32
"('sagittal', 'neutral-hututu.dat', 'transversal', 'neutral-legendre.dat')",KNN_manhattam,72.16
"('sagittal', 'neutral-hututu.dat', 'transversal', 'neutral-chebyshev.dat')",KNN_manhattam,72.68
"('sagittal', 'neutral-hututu.dat', 'transversal', 'neutral-zernike.dat')",KNN_euclidean,42.78
"('sagittal', 'neutral-hututu.dat', 'whole', 'neutral-hu1980.dat')",KNN_manhattam,58.76
"('sagittal', 'neutral-hututu.dat', 'whole', 'neutral-hututu.dat')",KNN_manhattam,63.4
"('sagittal', 'neutral-hututu.dat', 'whole', 'neutral-legendre.dat')",KNN_manhattam,63.92
