setting,classifier,rate
"[('frontal', 'chebyshev'), ('upper', 'hu1980')]",KNN_manhattam,90.72
"[('frontal', 'chebyshev'), ('upper', 'legendre')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('upper', 'chebyshev')]",KNN_manhattam,91.24
"[('frontal', 'chebyshev'), ('upper', 'zernike')]",KNN_manhattam,92.78
"[('frontal', 'chebyshev'), ('lower', 'husiq')]",KNN_manhattam,91.75
"[('frontal', 'chebyshev'), ('lower', 'hututu')]",KNN_manhattam,93.81
"[('frontal', 'chebyshev'), ('lower', 'hu1980')]",KNN_manhattam,90.72
"[('frontal', 'chebyshev'), ('lower', 'legendre')]",KNN_manhattam,91.24
"[('frontal', 'chebyshev'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'chebyshev'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'zernike'), ('radial', 'husiq')]",KNN_manhattam,90.72
"[('frontal', 'zernike'), ('radial', 'hututu')]",KNN_manhattam,91.75
"[('frontal', 'zernike'), ('radial', 'hu1980')]",KNN_manhattam,89.18
"[('frontal', 'zernike'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('frontal', 'zernike'), ('radial', 'chebyshev')]",ERROR,0.0
"[('frontal', 'zernike'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('frontal', 'zernike'), ('sagittal', 'husiq')]",KNN_manhattam,92.27
"[('frontal', 'zernike'), ('sagittal', 'hututu')]",KNN_manhattam,93.81
"[('frontal', 'zernike'), ('sagittal', 'hu1980')]",KNN_manhattam,90.21
"[('frontal', 'zernike'), ('sagittal', 'legendre')]",KNN_manhattam,93.3
"[('frontal', 'zernike'), ('sagittal', 'chebyshev')]",KNN_manhattam,92.27
"[('frontal', 'zernike'), ('sagittal', 'zernike')]",MLP,90.21
"[('frontal', 'zernike'), ('transversal', 'husiq')]",KNN_manhattam,91.75
"[('frontal', 'zernike'), ('transversal', 'hututu')]",KNN_manhattam,91.75
"[('frontal', 'zernike'), ('transversal', 'hu1980')]",KNN_manhattam,88.66
"[('frontal', 'zernike'), ('transversal', 'legendre')]",KNN_manhattam,92.78
"[('frontal', 'zernike'), ('transversal', 'chebyshev')]",KNN_manhattam,91.24
"[('frontal', 'zernike'), ('transversal', 'zernike')]",KNN_manhattam,90.72
"[('frontal', 'zernike'), ('whole', 'husiq')]",KNN_manhattam,89.69
"[('frontal', 'zernike'), ('whole', 'hututu')]",KNN_manhattam,90.21
"[('frontal', 'zernike'), ('whole', 'hu1980')]",KNN_manhattam,87.63
"[('frontal', 'zernike'), ('whole', 'legendre')]",KNN_manhattam,90.72
"[('frontal', 'zernike'), ('whole', 'chebyshev')]",KNN_manhattam,90.72
"[('frontal', 'zernike'), ('whole', 'zernike')]",KNN_manhattam,90.72
"[('frontal', 'zernike'), ('upper', 'husiq')]",KNN_manhattam,89.18
"[('frontal', 'zernike'), ('upper', 'hututu')]",KNN_manhattam,89.18
"[('frontal', 'zernike'), ('upper', 'hu1980')]",KNN_manhattam,88.14
"[('frontal', 'zernike'), ('upper', 'legendre')]",KNN_manhattam,90.21
"[('frontal', 'zernike'), ('upper', 'chebyshev')]",KNN_manhattam,89.69
"[('frontal', 'zernike'), ('upper', 'zernike')]",KNN_manhattam,92.27
"[('frontal', 'zernike'), ('lower', 'husiq')]",KNN_manhattam,88.14
"[('frontal', 'zernike'), ('lower', 'hututu')]",KNN_manhattam,89.69
"[('frontal', 'zernike'), ('lower', 'hu1980')]",KNN_manhattam,86.6
"[('frontal', 'zernike'), ('lower', 'legendre')]",KNN_manhattam,89.18
"[('frontal', 'zernike'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('frontal', 'zernike'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'husiq'), ('radial', 'hututu')]",KNN_manhattam,75.77
"[('radial', 'husiq'), ('radial', 'hu1980')]",KNN_euclidean,68.56
"[('radial', 'husiq'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('radial', 'husiq'), ('radial', 'chebyshev')]",ERROR,0.0
"[('radial', 'husiq'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'husiq'), ('sagittal', 'husiq')]",KNN_manhattam,85.57
"[('radial', 'husiq'), ('sagittal', 'hututu')]",KNN_manhattam,86.6
"[('radial', 'husiq'), ('sagittal', 'hu1980')]",KNN_euclidean,78.35
"[('radial', 'husiq'), ('sagittal', 'legendre')]",KNN_manhattam,88.66
"[('radial', 'husiq'), ('sagittal', 'chebyshev')]",KNN_euclidean,85.57
"[('radial', 'husiq'), ('sagittal', 'zernike')]",KNN_euclidean,86.6
"[('radial', 'husiq'), ('transversal', 'husiq')]",KNN_manhattam,87.63
"[('radial', 'husiq'), ('transversal', 'hututu')]",KNN_manhattam,86.08
"[('radial', 'husiq'), ('transversal', 'hu1980')]",KNN_manhattam,78.87
"[('radial', 'husiq'), ('transversal', 'legendre')]",KNN_manhattam,91.75
"[('radial', 'husiq'), ('transversal', 'chebyshev')]",KNN_manhattam,85.05
"[('radial', 'husiq'), ('transversal', 'zernike')]",MLP,79.38
"[('radial', 'husiq'), ('whole', 'husiq')]",KNN_manhattam,77.32
"[('radial', 'husiq'), ('whole', 'hututu')]",KNN_euclidean,77.32
"[('radial', 'husiq'), ('whole', 'hu1980')]",KNN_euclidean,73.71
"[('radial', 'husiq'), ('whole', 'legendre')]",KNN_manhattam,88.66
"[('radial', 'husiq'), ('whole', 'chebyshev')]",KNN_euclidean,86.6
"[('radial', 'husiq'), ('whole', 'zernike')]",MLP,88.14
"[('radial', 'husiq'), ('upper', 'husiq')]",MLP,71.13
"[('radial', 'husiq'), ('upper', 'hututu')]",KNN_manhattam,78.87
"[('radial', 'husiq'), ('upper', 'hu1980')]",KNN_manhattam,71.65
"[('radial', 'husiq'), ('upper', 'legendre')]",KNN_euclidean,82.99
"[('radial', 'husiq'), ('upper', 'chebyshev')]",KNN_manhattam,79.9
"[('radial', 'husiq'), ('upper', 'zernike')]",KNN_euclidean,84.02
"[('radial', 'husiq'), ('lower', 'husiq')]",KNN_manhattam,77.32
"[('radial', 'husiq'), ('lower', 'hututu')]",KNN_manhattam,81.96
"[('radial', 'husiq'), ('lower', 'hu1980')]",KNN_euclidean,72.16
"[('radial', 'husiq'), ('lower', 'legendre')]",KNN_manhattam,78.87
"[('radial', 'husiq'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('radial', 'husiq'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'hututu'), ('radial', 'hu1980')]",KNN_manhattam,73.71
"[('radial', 'hututu'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('radial', 'hututu'), ('radial', 'chebyshev')]",ERROR,0.0
"[('radial', 'hututu'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'hututu'), ('sagittal', 'husiq')]",KNN_manhattam,82.99
"[('radial', 'hututu'), ('sagittal', 'hututu')]",KNN_manhattam,84.02
"[('radial', 'hututu'), ('sagittal', 'hu1980')]",KNN_manhattam,78.35
"[('radial', 'hututu'), ('sagittal', 'legendre')]",KNN_manhattam,88.14
"[('radial', 'hututu'), ('sagittal', 'chebyshev')]",KNN_manhattam,84.54
"[('radial', 'hututu'), ('sagittal', 'zernike')]",MLP,86.6
"[('radial', 'hututu'), ('transversal', 'husiq')]",KNN_manhattam,84.54
"[('radial', 'hututu'), ('transversal', 'hututu')]",KNN_manhattam,83.51
"[('radial', 'hututu'), ('transversal', 'hu1980')]",KNN_manhattam,77.32
"[('radial', 'hututu'), ('transversal', 'legendre')]",KNN_manhattam,89.18
"[('radial', 'hututu'), ('transversal', 'chebyshev')]",KNN_manhattam,86.6
"[('radial', 'hututu'), ('transversal', 'zernike')]",KNN_manhattam,79.38
"[('radial', 'hututu'), ('whole', 'husiq')]",KNN_manhattam,76.29
"[('radial', 'hututu'), ('whole', 'hututu')]",KNN_manhattam,75.26
"[('radial', 'hututu'), ('whole', 'hu1980')]",KNN_manhattam,75.26
"[('radial', 'hututu'), ('whole', 'legendre')]",KNN_manhattam,85.05
"[('radial', 'hututu'), ('whole', 'chebyshev')]",KNN_manhattam,84.54
"[('radial', 'hututu'), ('whole', 'zernike')]",KNN_manhattam,86.6
"[('radial', 'hututu'), ('upper', 'husiq')]",KNN_manhattam,72.16
"[('radial', 'hututu'), ('upper', 'hututu')]",KNN_manhattam,78.87
"[('radial', 'hututu'), ('upper', 'hu1980')]",KNN_manhattam,74.23
"[('radial', 'hututu'), ('upper', 'legendre')]",KNN_manhattam,82.99
"[('radial', 'hututu'), ('upper', 'chebyshev')]",KNN_manhattam,81.44
"[('radial', 'hututu'), ('upper', 'zernike')]",KNN_manhattam,82.47
"[('radial', 'hututu'), ('lower', 'husiq')]",KNN_manhattam,74.23
"[('radial', 'hututu'), ('lower', 'hututu')]",KNN_manhattam,79.9
"[('radial', 'hututu'), ('lower', 'hu1980')]",KNN_manhattam,74.23
"[('radial', 'hututu'), ('lower', 'legendre')]",KNN_manhattam,81.44
"[('radial', 'hututu'), ('lower', 'chebyshev')]",KNN_manhattam,0.0
"[('radial', 'hututu'), ('lower', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'hu1980'), ('radial', 'legendre')]",KNN_manhattam,0.0
"[('radial', 'hu1980'), ('radial', 'chebyshev')]",ERROR,0.0
"[('radial', 'hu1980'), ('radial', 'zernike')]",KNN_manhattam,0.0
"[('radial', 'hu1980'), ('sagittal', 'husiq')]",KNN_manhattam,81.44
"[('radial', 'hu1980'), ('sagittal', 'hututu')]",KNN_manhattam,79.9
"[('radial', 'hu1980'), ('sagittal', 'hu1980')]",KNN_euclidean,62.89
"[('radial', 'hu1980'), ('sagittal', 'legendre')]",KNN_manhattam,87.11
"[('radial', 'hu1980'), ('sagittal', 'chebyshev')]",KNN_manhattam,84.02
"[('radial', 'hu1980'), ('sagittal', 'zernike')]",MLP,89.18
"[('radial', 'hu1980'), ('transversal', 'husiq')]",KNN_manhattam,86.6
"[('radial', 'hu1980'), ('transversal', 'hututu')]",KNN_manhattam,84.54
"[('radial', 'hu1980'), ('transversal', 'hu1980')]",KNN_euclidean,67.01
"[('radial', 'hu1980'), ('transversal', 'legendre')]",KNN_manhattam,90.72
"[('radial', 'hu1980'), ('transversal', 'chebyshev')]",KNN_manhattam,84.54
"[('radial', 'hu1980'), ('transversal', 'zernike')]",KNN_euclidean,76.8
