setting,classifier,rate
"[('frontal', 'zernike'), ('lower', 'legendre')]",KNN_manhattam,37.11
"[('frontal', 'zernike'), ('lower', 'chebyshev')]",KNN_manhattam,38.66
"[('frontal', 'legendre'), ('frontal', 'chebyshev')]",KNN_manhattam,52.58
"[('frontal', 'legendre'), ('radial', 'spheric')]",KNN_manhattam,57.73
"[('frontal', 'legendre'), ('radial', 'hututu')]",KNN_manhattam,60.31
"[('frontal', 'legendre'), ('radial', 'hu1980')]",KNN_manhattam,54.12
"[('frontal', 'legendre'), ('radial', 'husiq')]",KNN_manhattam,57.73
"[('frontal', 'legendre'), ('radial', 'zernike')]",KNN_manhattam,52.06
"[('frontal', 'legendre'), ('radial', 'legendre')]",KNN_manhattam,58.25
"[('frontal', 'legendre'), ('radial', 'chebyshev')]",KNN_manhattam,57.73
"[('frontal', 'legendre'), ('sagittal', 'spheric')]",KNN_manhattam,61.34
"[('frontal', 'legendre'), ('sagittal', 'hututu')]",KNN_manhattam,61.34
"[('frontal', 'legendre'), ('sagittal', 'hu1980')]",KNN_manhattam,56.19
"[('frontal', 'legendre'), ('sagittal', 'husiq')]",KNN_manhattam,57.22
"[('frontal', 'legendre'), ('sagittal', 'zernike')]",KNN_manhattam,41.75
"[('frontal', 'legendre'), ('sagittal', 'legendre')]",KNN_manhattam,60.82
"[('frontal', 'legendre'), ('sagittal', 'chebyshev')]",KNN_manhattam,58.76
"[('frontal', 'legendre'), ('transversal', 'spheric')]",KNN_manhattam,65.98
"[('frontal', 'legendre'), ('transversal', 'hututu')]",KNN_manhattam,63.92
"[('frontal', 'legendre'), ('transversal', 'hu1980')]",KNN_manhattam,56.19
"[('frontal', 'legendre'), ('transversal', 'husiq')]",KNN_manhattam,64.43
"[('frontal', 'legendre'), ('transversal', 'zernike')]",KNN_manhattam,46.39
"[('frontal', 'legendre'), ('transversal', 'legendre')]",KNN_manhattam,65.46
"[('frontal', 'legendre'), ('transversal', 'chebyshev')]",KNN_manhattam,62.37
"[('frontal', 'legendre'), ('whole', 'spheric')]",KNN_manhattam,56.7
"[('frontal', 'legendre'), ('whole', 'hututu')]",KNN_manhattam,59.28
"[('frontal', 'legendre'), ('whole', 'hu1980')]",KNN_manhattam,54.12
"[('frontal', 'legendre'), ('whole', 'husiq')]",KNN_manhattam,58.25
"[('frontal', 'legendre'), ('whole', 'zernike')]",KNN_manhattam,52.06
"[('frontal', 'legendre'), ('whole', 'legendre')]",KNN_manhattam,55.67
"[('frontal', 'legendre'), ('whole', 'chebyshev')]",KNN_manhattam,55.67
"[('frontal', 'legendre'), ('upper', 'spheric')]",KNN_manhattam,53.09
"[('frontal', 'legendre'), ('upper', 'hututu')]",KNN_manhattam,55.15
"[('frontal', 'legendre'), ('upper', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'legendre'), ('upper', 'husiq')]",KNN_manhattam,56.19
"[('frontal', 'legendre'), ('upper', 'zernike')]",KNN_manhattam,55.67
"[('frontal', 'legendre'), ('upper', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'legendre'), ('upper', 'chebyshev')]",KNN_manhattam,52.06
"[('frontal', 'legendre'), ('lower', 'spheric')]",KNN_manhattam,53.61
"[('frontal', 'legendre'), ('lower', 'hututu')]",KNN_manhattam,57.73
"[('frontal', 'legendre'), ('lower', 'hu1980')]",KNN_manhattam,54.12
"[('frontal', 'legendre'), ('lower', 'husiq')]",KNN_manhattam,56.19
"[('frontal', 'legendre'), ('lower', 'zernike')]",KNN_manhattam,55.67
"[('frontal', 'legendre'), ('lower', 'legendre')]",KNN_manhattam,55.67
"[('frontal', 'legendre'), ('lower', 'chebyshev')]",KNN_manhattam,55.67
"[('frontal', 'chebyshev'), ('radial', 'spheric')]",KNN_manhattam,56.7
"[('frontal', 'chebyshev'), ('radial', 'hututu')]",KNN_manhattam,60.31
"[('frontal', 'chebyshev'), ('radial', 'hu1980')]",KNN_manhattam,54.64
"[('frontal', 'chebyshev'), ('radial', 'husiq')]",KNN_manhattam,57.73
"[('frontal', 'chebyshev'), ('radial', 'zernike')]",KNN_manhattam,51.55
"[('frontal', 'chebyshev'), ('radial', 'legendre')]",KNN_euclidean,56.19
"[('frontal', 'chebyshev'), ('radial', 'chebyshev')]",KNN_manhattam,56.19
"[('frontal', 'chebyshev'), ('sagittal', 'spheric')]",KNN_manhattam,62.89
"[('frontal', 'chebyshev'), ('sagittal', 'hututu')]",KNN_manhattam,61.34
"[('frontal', 'chebyshev'), ('sagittal', 'hu1980')]",KNN_manhattam,56.7
"[('frontal', 'chebyshev'), ('sagittal', 'husiq')]",KNN_manhattam,59.79
"[('frontal', 'chebyshev'), ('sagittal', 'zernike')]",KNN_euclidean,40.72
"[('frontal', 'chebyshev'), ('sagittal', 'legendre')]",KNN_manhattam,62.37
"[('frontal', 'chebyshev'), ('sagittal', 'chebyshev')]",KNN_manhattam,60.82
"[('frontal', 'chebyshev'), ('transversal', 'spheric')]",KNN_manhattam,63.92
"[('frontal', 'chebyshev'), ('transversal', 'hututu')]",KNN_manhattam,64.95
"[('frontal', 'chebyshev'), ('transversal', 'hu1980')]",KNN_manhattam,57.22
"[('frontal', 'chebyshev'), ('transversal', 'husiq')]",KNN_manhattam,64.95
"[('frontal', 'chebyshev'), ('transversal', 'zernike')]",KNN_manhattam,43.3
"[('frontal', 'chebyshev'), ('transversal', 'legendre')]",KNN_manhattam,64.43
"[('frontal', 'chebyshev'), ('transversal', 'chebyshev')]",KNN_manhattam,62.37
"[('frontal', 'chebyshev'), ('whole', 'spheric')]",KNN_manhattam,54.64
"[('frontal', 'chebyshev'), ('whole', 'hututu')]",KNN_manhattam,57.73
"[('frontal', 'chebyshev'), ('whole', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'chebyshev'), ('whole', 'husiq')]",KNN_manhattam,56.7
"[('frontal', 'chebyshev'), ('whole', 'zernike')]",KNN_manhattam,50.52
"[('frontal', 'chebyshev'), ('whole', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'chebyshev'), ('whole', 'chebyshev')]",KNN_manhattam,55.15
"[('frontal', 'chebyshev'), ('upper', 'spheric')]",KNN_manhattam,52.06
"[('frontal', 'chebyshev'), ('upper', 'hututu')]",KNN_manhattam,54.64
"[('frontal', 'chebyshev'), ('upper', 'hu1980')]",KNN_manhattam,51.03
"[('frontal', 'chebyshev'), ('upper', 'husiq')]",KNN_manhattam,52.58
"[('frontal', 'chebyshev'), ('upper', 'zernike')]",KNN_manhattam,52.58
"[('frontal', 'chebyshev'), ('upper', 'legendre')]",KNN_manhattam,52.58
"[('frontal', 'chebyshev'), ('upper', 'chebyshev')]",KNN_manhattam,52.06
"[('frontal', 'chebyshev'), ('lower', 'spheric')]",KNN_manhattam,51.55
"[('frontal', 'chebyshev'), ('lower', 'hututu')]",KNN_manhattam,56.19
"[('frontal', 'chebyshev'), ('lower', 'hu1980')]",KNN_manhattam,53.09
"[('frontal', 'chebyshev'), ('lower', 'husiq')]",KNN_manhattam,55.67
"[('frontal', 'chebyshev'), ('lower', 'zernike')]",KNN_manhattam,51.55
"[('frontal', 'chebyshev'), ('lower', 'legendre')]",KNN_manhattam,55.15
"[('frontal', 'chebyshev'), ('lower', 'chebyshev')]",KNN_manhattam,53.09
"[('radial', 'spheric'), ('radial', 'hututu')]",KNN_manhattam,71.65
"[('radial', 'spheric'), ('radial', 'hu1980')]",KNN_euclidean,62.37
"[('radial', 'spheric'), ('radial', 'husiq')]",KNN_euclidean,64.95
"[('radial', 'spheric'), ('radial', 'zernike')]",KNN_manhattam,47.94
"[('radial', 'spheric'), ('radial', 'legendre')]",KNN_manhattam,61.86
"[('radial', 'spheric'), ('radial', 'chebyshev')]",KNN_manhattam,62.37
"[('radial', 'spheric'), ('sagittal', 'spheric')]",KNN_manhattam,69.07
"[('radial', 'spheric'), ('sagittal', 'hututu')]",KNN_manhattam,71.13
"[('radial', 'spheric'), ('sagittal', 'hu1980')]",KNN_euclidean,68.04
"[('radial', 'spheric'), ('sagittal', 'husiq')]",KNN_manhattam,68.56
"[('radial', 'spheric'), ('sagittal', 'zernike')]",KNN_euclidean,36.6
"[('radial', 'spheric'), ('sagittal', 'legendre')]",KNN_manhattam,72.16
"[('radial', 'spheric'), ('sagittal', 'chebyshev')]",KNN_euclidean,68.04
"[('radial', 'spheric'), ('transversal', 'spheric')]",KNN_manhattam,69.07
"[('radial', 'spheric'), ('transversal', 'hututu')]",KNN_manhattam,72.68
"[('radial', 'spheric'), ('transversal', 'hu1980')]",KNN_euclidean,65.98
"[('radial', 'spheric'), ('transversal', 'husiq')]",KNN_manhattam,74.23
"[('radial', 'spheric'), ('transversal', 'zernike')]",KNN_euclidean,37.11
"[('radial', 'spheric'), ('transversal', 'legendre')]",KNN_manhattam,72.68
"[('radial', 'spheric'), ('transversal', 'chebyshev')]",KNN_manhattam,71.65
"[('radial', 'spheric'), ('whole', 'spheric')]",KNN_manhattam,62.37
"[('radial', 'spheric'), ('whole', 'hututu')]",KNN_manhattam,69.59
